timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu
2026/08/20 07:25:08.629, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:25:18.630, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:25:28.632, Tesla V100-PCIE-16GB, 48 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:25:38.633, Tesla V100-PCIE-16GB, 51 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:25:48.634, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:25:58.635, Tesla V100-PCIE-16GB, 47 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:26:08.636, Tesla V100-PCIE-16GB, 23 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:26:18.637, Tesla V100-PCIE-16GB, 47 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:26:28.639, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:26:38.640, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:26:48.641, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:26:58.642, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:27:08.643, Tesla V100-PCIE-16GB, 50 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:27:18.644, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:27:28.645, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:27:38.647, Tesla V100-PCIE-16GB, 46 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:27:48.648, Tesla V100-PCIE-16GB, 48 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:27:58.649, Tesla V100-PCIE-16GB, 50 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:28:08.650, Tesla V100-PCIE-16GB, 51 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:28:18.651, Tesla V100-PCIE-16GB, 46 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:28:28.652, Tesla V100-PCIE-16GB, 45 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:28:38.653, Tesla V100-PCIE-16GB, 51 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:28:48.655, Tesla V100-PCIE-16GB, 48 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:28:58.656, Tesla V100-PCIE-16GB, 48 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:29:08.657, Tesla V100-PCIE-16GB, 46 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:29:18.658, Tesla V100-PCIE-16GB, 43 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:29:28.661, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:29:38.662, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:29:48.663, Tesla V100-PCIE-16GB, 51 %, 3 %, 548 MiB, 16384 MiB, 50
